Mode,Theme,Avg_FPS,Avg_Sim_ms,P1_Low_Sim_ms
Baseline (No DRM),Abstract Cubes,14,57.71,62.83
Baseline (No DRM),Abstract Cubes,16,58.69,65.13
Baseline (No DRM),Abstract Cubes,15,63.45,70.18
Baseline (No DRM),Abstract Cubes,15,60.51,65.06
Baseline (No DRM),Abstract Cubes,14,53.90,59.60
Baseline (No DRM),Abstract Cubes,16,59.06,66.62
Baseline (No DRM),Abstract Cubes,14,58.93,63.87
Baseline (No DRM),Abstract Cubes,14,61.58,68.64
Baseline (No DRM),Abstract Cubes,14,58.52,66.90
Baseline (No DRM),Abstract Cubes,16,58.84,65.65
Baseline (No DRM),Abstract Cubes,14,61.09,66.71
Baseline (No DRM),Abstract Cubes,14,57.74,62.67
Baseline (No DRM),Abstract Cubes,15,57.84,64.44
Baseline (No DRM),Abstract Cubes,15,62.41,67.08
Baseline (No DRM),Abstract Cubes,16,60.37,66.80
Baseline (No DRM),Abstract Cubes,16,60.24,67.90
Baseline (No DRM),Abstract Cubes,15,60.80,65.36
Baseline (No DRM),Abstract Cubes,16,59.55,66.28
Baseline (No DRM),Abstract Cubes,14,62.51,69.29
Baseline (No DRM),Abstract Cubes,14,58.75,62.52
Baseline (No DRM),Abstract Cubes,15,59.57,66.65
Baseline (No DRM),Abstract Cubes,15,59.94,66.80
Baseline (No DRM),Abstract Cubes,15,60.67,66.75
Baseline (No DRM),Abstract Cubes,14,60.29,66.33
Baseline (No DRM),Abstract Cubes,14,60.13,67.70
Baseline (No DRM),Abstract Cubes,14,58.18,61.65
Baseline (No DRM),Abstract Cubes,15,59.32,65.78
Baseline (No DRM),Abstract Cubes,15,59.90,63.29
Baseline (No DRM),Abstract Cubes,15,62.55,68.43
Baseline (No DRM),Abstract Cubes,15,60.65,67.10
Baseline (No DRM),Abstract Cubes,15,61.30,68.31
Baseline (No DRM),Abstract Cubes,14,62.49,68.96
Baseline (No DRM),Abstract Cubes,14,63.46,70.06
Baseline (No DRM),Abstract Cubes,16,60.36,65.32
Baseline (No DRM),Abstract Cubes,14,60.76,66.25
Baseline (No DRM),Abstract Cubes,15,60.96,65.67
Baseline (No DRM),Abstract Cubes,14,57.74,63.46
Baseline (No DRM),Abstract Cubes,16,58.63,63.07
Baseline (No DRM),Abstract Cubes,14,56.47,62.99
Baseline (No DRM),Abstract Cubes,14,57.84,62.96
Baseline (No DRM),Abstract Cubes,15,58.62,65.94
Baseline (No DRM),Abstract Cubes,16,58.97,64.36
Baseline (No DRM),Abstract Cubes,16,59.37,65.75
Baseline (No DRM),Abstract Cubes,16,59.29,63.36
Baseline (No DRM),Abstract Cubes,16,59.55,64.99
Baseline (No DRM),Abstract Cubes,14,56.72,64.11
Baseline (No DRM),Abstract Cubes,15,62.02,68.75
Baseline (No DRM),Abstract Cubes,15,58.54,64.84
Baseline (No DRM),Abstract Cubes,16,57.03,64.04
Baseline (No DRM),Abstract Cubes,14,58.98,66.04
Baseline (No DRM),Abstract Cubes,15,63.97,67.41
Baseline (No DRM),Abstract Cubes,15,56.99,63.59
Baseline (No DRM),Abstract Cubes,14,56.80,63.98
Baseline (No DRM),Abstract Cubes,15,58.21,65.26
Baseline (No DRM),Abstract Cubes,14,54.47,58.08
Baseline (No DRM),Abstract Cubes,16,53.58,59.79
Baseline (No DRM),Abstract Cubes,14,58.36,63.13
Baseline (No DRM),Abstract Cubes,15,61.20,66.45
Baseline (No DRM),Abstract Cubes,15,58.52,62.80
Baseline (No DRM),Abstract Cubes,16,62.58,68.85
Baseline (No DRM),Abstract Cubes,15,57.51,62.68
Baseline (No DRM),Abstract Cubes,16,57.21,62.84
Baseline (No DRM),Abstract Cubes,14,60.07,65.60
Baseline (No DRM),Abstract Cubes,14,59.35,65.34
Baseline (No DRM),Abstract Cubes,16,59.10,65.37
Baseline (No DRM),Abstract Cubes,15,54.81,57.57
Baseline (No DRM),Abstract Cubes,15,60.78,66.46
Baseline (No DRM),Abstract Cubes,14,61.11,64.46
Baseline (No DRM),Abstract Cubes,16,56.42,61.62
Baseline (No DRM),Abstract Cubes,14,58.91,63.44
Baseline (No DRM),Abstract Cubes,15,61.73,67.33
Baseline (No DRM),Abstract Cubes,15,60.67,66.66
Baseline (No DRM),Abstract Cubes,15,58.15,63.12
Baseline (No DRM),Abstract Cubes,15,58.37,64.53
Baseline (No DRM),Abstract Cubes,16,60.47,67.42
Baseline (No DRM),Abstract Cubes,16,58.48,64.83
Baseline (No DRM),Abstract Cubes,16,56.18,62.59
Baseline (No DRM),Abstract Cubes,14,60.18,65.91
Baseline (No DRM),Abstract Cubes,16,60.78,69.19
Baseline (No DRM),Abstract Cubes,14,58.16,62.99
Baseline (No DRM),Abstract Cubes,14,61.57,65.55
Baseline (No DRM),Abstract Cubes,15,58.34,64.73
Baseline (No DRM),Abstract Cubes,16,60.96,66.70
Baseline (No DRM),Abstract Cubes,16,58.77,62.65
Baseline (No DRM),Abstract Cubes,14,58.17,65.39
Baseline (No DRM),Abstract Cubes,14,58.71,63.96
Baseline (No DRM),Abstract Cubes,15,60.99,67.58
Baseline (No DRM),Abstract Cubes,15,61.22,66.75
Baseline (No DRM),Abstract Cubes,16,58.27,64.21
Baseline (No DRM),Abstract Cubes,14,58.39,62.17
Baseline (No DRM),Abstract Cubes,15,61.84,66.31
Baseline (No DRM),Abstract Cubes,15,62.27,67.47
Baseline (No DRM),Abstract Cubes,14,57.86,63.15
Baseline (No DRM),Abstract Cubes,15,58.94,63.54
Baseline (No DRM),Abstract Cubes,15,57.27,62.60
Baseline (No DRM),Abstract Cubes,16,62.01,66.70
Baseline (No DRM),Abstract Cubes,16,55.51,62.45
Baseline (No DRM),Abstract Cubes,14,58.71,63.79
Baseline (No DRM),Abstract Cubes,15,56.62,63.44
Baseline (No DRM),Abstract Cubes,16,58.25,63.32
Baseline (No DRM),Abstract Cubes,15,60.61,65.79
Baseline (No DRM),Abstract Cubes,15,59.30,63.49
Baseline (No DRM),Abstract Cubes,14,60.35,65.52
Baseline (No DRM),Abstract Cubes,14,58.36,64.42
Baseline (No DRM),Abstract Cubes,16,57.64,63.27
Baseline (No DRM),Abstract Cubes,16,56.62,62.21
Baseline (No DRM),Abstract Cubes,15,57.86,63.37
Baseline (No DRM),Abstract Cubes,16,57.63,63.73
Baseline (No DRM),Abstract Cubes,16,59.30,64.76
Baseline (No DRM),Abstract Cubes,14,61.35,66.54
Baseline (No DRM),Abstract Cubes,14,59.48,64.88
Baseline (No DRM),Abstract Cubes,14,61.36,66.58
Baseline (No DRM),Abstract Cubes,16,60.13,64.63
Baseline (No DRM),Abstract Cubes,16,60.96,66.73
Baseline (No DRM),Abstract Cubes,15,58.95,63.40
Baseline (No DRM),Abstract Cubes,15,54.21,59.28
Baseline (No DRM),Abstract Cubes,15,60.01,67.25
Baseline (No DRM),Abstract Cubes,16,58.17,64.05
Baseline (No DRM),Abstract Cubes,15,58.96,63.55
Baseline (No DRM),Abstract Cubes,15,64.41,70.93
Baseline (No DRM),Abstract Cubes,16,58.09,65.88
Baseline (No DRM),Abstract Cubes,14,60.13,65.43
Baseline (No DRM),Abstract Cubes,15,62.68,69.94
Baseline (No DRM),Abstract Cubes,16,58.93,65.29
Baseline (No DRM),Abstract Cubes,15,59.58,66.77
Baseline (No DRM),Abstract Cubes,16,62.24,67.13
Baseline (No DRM),Abstract Cubes,15,61.03,67.68
Baseline (No DRM),Abstract Cubes,14,62.47,68.30
Baseline (No DRM),Abstract Cubes,15,60.23,65.04
Baseline (No DRM),Abstract Cubes,14,58.07,63.33
Baseline (No DRM),Abstract Cubes,14,58.16,64.35
Baseline (No DRM),Abstract Cubes,15,59.77,65.71
Baseline (No DRM),Abstract Cubes,16,57.91,61.38
Baseline (No DRM),Abstract Cubes,14,60.07,65.72
Baseline (No DRM),Abstract Cubes,16,62.26,66.51
Baseline (No DRM),Abstract Cubes,15,56.18,61.79
Baseline (No DRM),Abstract Cubes,15,58.93,67.38
Baseline (No DRM),Abstract Cubes,14,60.00,65.39
Baseline (No DRM),Abstract Cubes,16,60.58,64.95
Baseline (No DRM),Abstract Cubes,14,57.22,63.05
Baseline (No DRM),Abstract Cubes,16,62.72,69.19
Baseline (No DRM),Abstract Cubes,16,63.98,70.63
Baseline (No DRM),Abstract Cubes,16,59.61,65.88
Baseline (No DRM),Abstract Cubes,14,61.57,67.63
Baseline (No DRM),Abstract Cubes,16,60.82,64.83
Baseline (No DRM),Abstract Cubes,16,61.96,70.05
Baseline (No DRM),Abstract Cubes,15,59.92,66.09
Baseline (No DRM),Abstract Cubes,16,59.56,63.45
Baseline (No DRM),Abstract Cubes,16,56.11,63.02
Baseline (No DRM),Abstract Cubes,14,59.42,64.12
Baseline (No DRM),Abstract Cubes,16,63.18,66.86
Baseline (No DRM),Abstract Cubes,15,58.47,64.30
Baseline (No DRM),Abstract Cubes,16,59.74,65.76
Baseline (No DRM),Abstract Cubes,15,60.97,65.68
Baseline (No DRM),Abstract Cubes,16,60.99,66.72
Baseline (No DRM),Abstract Cubes,14,56.37,64.31
Baseline (No DRM),Abstract Cubes,15,60.19,65.24
Baseline (No DRM),Abstract Cubes,14,64.49,70.48
Baseline (No DRM),Abstract Cubes,16,62.93,71.17
Baseline (No DRM),Abstract Cubes,15,61.31,68.17
Baseline (No DRM),Abstract Cubes,16,61.11,66.27
Baseline (No DRM),Abstract Cubes,15,56.23,62.78
Baseline (No DRM),Abstract Cubes,16,59.66,64.91
Baseline (No DRM),Abstract Cubes,16,60.68,64.63
Baseline (No DRM),Abstract Cubes,15,64.78,70.67
Baseline (No DRM),Abstract Cubes,14,59.85,66.26
Baseline (No DRM),Abstract Cubes,14,57.59,62.43
Baseline (No DRM),Abstract Cubes,15,59.31,64.47
Baseline (No DRM),Abstract Cubes,14,61.31,66.10
Baseline (No DRM),Abstract Cubes,16,58.30,65.09
Baseline (No DRM),Abstract Cubes,16,61.40,66.60
Baseline (No DRM),Abstract Cubes,15,63.42,68.36
Baseline (No DRM),Abstract Cubes,16,57.29,62.59
Baseline (No DRM),Abstract Cubes,14,60.87,64.72
Baseline (No DRM),Abstract Cubes,15,58.50,62.45
Baseline (No DRM),Abstract Cubes,16,60.78,67.00
Baseline (No DRM),Abstract Cubes,16,61.33,68.23
Baseline (No DRM),Abstract Cubes,16,62.06,66.42
Baseline (No DRM),Abstract Cubes,16,58.65,64.09
Baseline (No DRM),Abstract Cubes,16,58.78,64.92
Baseline (No DRM),Abstract Cubes,16,63.10,69.81
Baseline (No DRM),Abstract Cubes,16,64.27,68.66
Baseline (No DRM),Abstract Cubes,14,63.36,70.05
Baseline (No DRM),Abstract Cubes,15,58.88,64.83
Baseline (No DRM),Abstract Cubes,15,53.61,61.61
Baseline (No DRM),Abstract Cubes,14,62.50,67.23
Baseline (No DRM),Abstract Cubes,14,63.73,70.53
Baseline (No DRM),Abstract Cubes,15,59.74,63.87
Baseline (No DRM),Abstract Cubes,16,59.16,63.35
Baseline (No DRM),Abstract Cubes,16,60.72,64.85
Baseline (No DRM),Abstract Cubes,14,60.91,65.31
Baseline (No DRM),Abstract Cubes,16,65.00,70.31
Baseline (No DRM),Abstract Cubes,16,58.02,64.85
Baseline (No DRM),Abstract Cubes,14,60.02,63.62
Baseline (No DRM),Abstract Cubes,16,61.71,67.32
Baseline (No DRM),Abstract Cubes,16,58.55,62.90
Baseline (No DRM),Abstract Cubes,14,57.70,64.44
Baseline (No DRM),Abstract Cubes,16,59.17,63.62
Baseline (No DRM),Abstract Cubes,14,57.63,63.16
Baseline (No DRM),Abstract Cubes,15,60.78,65.45
Baseline (No DRM),Abstract Cubes,15,62.13,69.35
Baseline (No DRM),Abstract Cubes,15,60.92,67.87
Baseline (No DRM),Abstract Cubes,16,55.59,59.81
Baseline (No DRM),Abstract Cubes,16,57.07,61.79
Baseline (No DRM),Abstract Cubes,15,59.97,65.32
Baseline (No DRM),Abstract Cubes,16,60.35,66.08
Baseline (No DRM),Abstract Cubes,16,56.35,60.66
Baseline (No DRM),Abstract Cubes,15,57.91,63.55
Baseline (No DRM),Abstract Cubes,14,57.85,63.46
Baseline (No DRM),Abstract Cubes,15,61.30,66.53
Baseline (No DRM),Abstract Cubes,15,57.50,63.11
Baseline (No DRM),Abstract Cubes,15,60.30,66.53
Baseline (No DRM),Abstract Cubes,14,59.58,67.22
Baseline (No DRM),Abstract Cubes,16,60.39,67.33
Baseline (No DRM),Abstract Cubes,15,61.55,65.43
Baseline (No DRM),Abstract Cubes,16,59.32,63.61
Baseline (No DRM),Abstract Cubes,16,61.46,66.91
Baseline (No DRM),Abstract Cubes,16,60.37,65.76
Baseline (No DRM),Abstract Cubes,16,64.16,71.27
Baseline (No DRM),Abstract Cubes,15,61.12,66.37
Baseline (No DRM),Abstract Cubes,14,60.45,67.70
Baseline (No DRM),Abstract Cubes,15,56.45,62.25
Baseline (No DRM),Abstract Cubes,16,58.90,65.49
Baseline (No DRM),Abstract Cubes,16,57.51,62.15
Baseline (No DRM),Abstract Cubes,14,61.77,66.95
Baseline (No DRM),Abstract Cubes,14,61.12,66.31
Baseline (No DRM),Abstract Cubes,14,61.37,65.39
Baseline (No DRM),Abstract Cubes,14,62.69,66.85
Baseline (No DRM),Abstract Cubes,15,58.35,64.56
Baseline (No DRM),Abstract Cubes,14,54.49,61.78
Baseline (No DRM),Abstract Cubes,15,56.59,63.03
Baseline (No DRM),Abstract Cubes,14,60.28,64.62
Baseline (No DRM),Abstract Cubes,16,61.61,66.76
Baseline (No DRM),Abstract Cubes,14,58.67,63.93
Baseline (No DRM),Abstract Cubes,15,61.10,66.21
Baseline (No DRM),Abstract Cubes,14,63.52,70.85
Baseline (No DRM),Abstract Cubes,14,60.02,63.99
Baseline (No DRM),Abstract Cubes,14,61.03,65.21
Baseline (No DRM),Abstract Cubes,16,61.71,68.21
Baseline (No DRM),Abstract Cubes,16,61.67,67.41
Baseline (No DRM),Abstract Cubes,14,58.78,62.89
Baseline (No DRM),Abstract Cubes,14,55.62,60.31
Baseline (No DRM),Abstract Cubes,15,55.14,59.72
Baseline (No DRM),Abstract Cubes,15,57.87,65.09
Baseline (No DRM),Abstract Cubes,16,61.42,65.70
Baseline (No DRM),Abstract Cubes,15,55.73,59.74
Baseline (No DRM),Abstract Cubes,15,60.00,64.90
Baseline (No DRM),Abstract Cubes,16,60.86,64.65
Baseline (No DRM),Abstract Cubes,15,55.34,62.87
Baseline (No DRM),Abstract Cubes,16,59.14,64.73
Baseline (No DRM),Abstract Cubes,15,58.37,64.25
Baseline (No DRM),Abstract Cubes,14,63.85,69.18
Baseline (No DRM),Abstract Cubes,16,61.92,66.11
Baseline (No DRM),Abstract Cubes,14,59.00,62.49
Baseline (No DRM),Abstract Cubes,15,57.03,61.52
Baseline (No DRM),Abstract Cubes,14,60.22,65.53
Baseline (No DRM),Abstract Cubes,16,65.65,73.68
Baseline (No DRM),Abstract Cubes,14,56.29,62.35
Baseline (No DRM),Abstract Cubes,14,55.96,60.49
Baseline (No DRM),Abstract Cubes,14,58.22,63.74
Baseline (No DRM),Abstract Cubes,16,58.31,64.46
Baseline (No DRM),Abstract Cubes,16,60.15,66.67
Baseline (No DRM),Abstract Cubes,14,57.75,63.08
Baseline (No DRM),Abstract Cubes,15,57.24,63.80
Baseline (No DRM),Abstract Cubes,16,61.64,67.13
Baseline (No DRM),Abstract Cubes,16,60.05,66.70
Baseline (No DRM),Abstract Cubes,14,59.81,64.11
Baseline (No DRM),Abstract Cubes,16,58.86,63.88
Baseline (No DRM),Abstract Cubes,15,59.25,65.02
Baseline (No DRM),Abstract Cubes,16,59.07,66.10
Baseline (No DRM),Abstract Cubes,16,63.83,70.57
Baseline (No DRM),Abstract Cubes,14,59.47,64.66
Baseline (No DRM),Abstract Cubes,15,61.69,68.53
Baseline (No DRM),Abstract Cubes,16,59.26,62.08
Baseline (No DRM),Abstract Cubes,15,59.79,64.58
Baseline (No DRM),Abstract Cubes,15,57.51,61.86
Baseline (No DRM),Abstract Cubes,16,61.60,65.65
Baseline (No DRM),Abstract Cubes,16,58.66,64.39
Baseline (No DRM),Abstract Cubes,14,58.39,62.96
Baseline (No DRM),Abstract Cubes,15,62.82,66.74
Baseline (No DRM),Abstract Cubes,14,60.63,66.66
Baseline (No DRM),Abstract Cubes,14,62.05,66.92
Baseline (No DRM),Abstract Cubes,14,57.29,65.13
Baseline (No DRM),Abstract Cubes,15,65.09,71.93
Baseline (No DRM),Abstract Cubes,16,60.44,66.13
Baseline (No DRM),Abstract Cubes,15,58.59,62.94
Baseline (No DRM),Abstract Cubes,14,58.66,64.12
Baseline (No DRM),Abstract Cubes,14,61.77,67.34
Baseline (No DRM),Abstract Cubes,16,58.66,65.97
Baseline (No DRM),Abstract Cubes,14,57.86,64.53
Baseline (No DRM),Abstract Cubes,16,59.47,66.00
Baseline (No DRM),Abstract Cubes,14,59.88,65.80
Baseline (No DRM),Abstract Cubes,16,54.77,60.53
Baseline (No DRM),Abstract Cubes,14,62.96,68.65
Baseline (No DRM),Abstract Cubes,16,57.33,64.11
Baseline (No DRM),Abstract Cubes,15,57.50,61.60
Baseline (No DRM),Abstract Cubes,15,61.86,67.55
Baseline (No DRM),Abstract Cubes,14,60.69,65.95
Baseline (No DRM),Abstract Cubes,15,59.25,65.69
Baseline (No DRM),Abstract Cubes,15,59.46,62.65
Baseline (No DRM),Abstract Cubes,15,61.06,68.21
Baseline (No DRM),Abstract Cubes,16,58.15,62.59
Baseline (No DRM),Abstract Cubes,14,64.71,70.39
Baseline (No DRM),Abstract Cubes,16,62.30,69.81
Baseline (No DRM),Abstract Cubes,16,57.39,62.23
Baseline (No DRM),Abstract Cubes,15,61.47,68.57
Baseline (No DRM),Abstract Cubes,15,58.13,63.66
Baseline (No DRM),Abstract Cubes,14,62.86,67.50
Baseline (No DRM),Abstract Cubes,16,66.53,69.82
Baseline (No DRM),Abstract Cubes,14,62.20,69.55
Baseline (No DRM),Abstract Cubes,16,62.99,69.68
Baseline (No DRM),Abstract Cubes,16,59.67,65.54
Baseline (No DRM),Abstract Cubes,14,57.87,66.48
Baseline (No DRM),Abstract Cubes,15,60.44,65.46
Baseline (No DRM),Abstract Cubes,15,60.25,65.41
Baseline (No DRM),Abstract Cubes,15,57.10,59.49
Baseline (No DRM),Abstract Cubes,14,59.45,65.10
Baseline (No DRM),Abstract Cubes,14,61.84,68.07
Baseline (No DRM),Abstract Cubes,16,62.27,67.81
Baseline (No DRM),Abstract Cubes,15,59.17,65.64
Baseline (No DRM),Abstract Cubes,14,61.38,67.35
Baseline (No DRM),Abstract Cubes,14,62.06,67.29
Baseline (No DRM),Abstract Cubes,14,60.50,65.02
Baseline (No DRM),Abstract Cubes,14,60.39,66.31
Baseline (No DRM),Abstract Cubes,16,61.37,68.84
Baseline (No DRM),Abstract Cubes,14,59.04,63.44
Baseline (No DRM),Abstract Cubes,16,57.68,62.91
Baseline (No DRM),Abstract Cubes,16,64.06,70.10
Baseline (No DRM),Abstract Cubes,16,59.90,65.45
Baseline (No DRM),Abstract Cubes,15,62.14,64.48
Baseline (No DRM),Abstract Cubes,16,55.28,58.96
Baseline (No DRM),Abstract Cubes,14,59.26,64.68
Baseline (No DRM),Abstract Cubes,16,60.72,67.71
Baseline (No DRM),Abstract Cubes,14,58.04,63.05
Baseline (No DRM),Abstract Cubes,14,60.20,66.33
Baseline (No DRM),Abstract Cubes,16,61.75,67.80
Baseline (No DRM),Abstract Cubes,16,56.72,60.52
Baseline (No DRM),Abstract Cubes,15,60.92,66.13
Baseline (No DRM),Abstract Cubes,15,57.55,63.62
Baseline (No DRM),Abstract Cubes,15,56.48,64.21
Baseline (No DRM),Abstract Cubes,16,63.50,70.63
Baseline (No DRM),Abstract Cubes,14,60.87,67.65
Baseline (No DRM),Abstract Cubes,14,57.46,62.40
Baseline (No DRM),Abstract Cubes,16,57.11,63.05
Baseline (No DRM),Abstract Cubes,14,61.52,68.45
Baseline (No DRM),Abstract Cubes,14,60.15,65.41
Baseline (No DRM),Abstract Cubes,14,59.90,66.27
Baseline (No DRM),Abstract Cubes,14,60.09,65.54
Baseline (No DRM),Abstract Cubes,16,60.17,66.96
Baseline (No DRM),Abstract Cubes,14,59.19,63.72
Baseline (No DRM),Abstract Cubes,14,61.34,67.03
Baseline (No DRM),Abstract Cubes,16,63.08,69.22
Baseline (No DRM),Abstract Cubes,16,56.63,60.36
Baseline (No DRM),Abstract Cubes,14,62.37,68.95
Baseline (No DRM),Abstract Cubes,14,57.12,61.48
Baseline (No DRM),Abstract Cubes,14,56.95,61.66
Baseline (No DRM),Abstract Cubes,14,59.57,65.42
Baseline (No DRM),Abstract Cubes,14,56.66,63.30
Baseline (No DRM),Abstract Cubes,16,61.49,65.80
Baseline (No DRM),Abstract Cubes,15,58.58,64.99
Baseline (No DRM),Abstract Cubes,16,60.81,67.03
Baseline (No DRM),Abstract Cubes,15,61.17,64.62
Baseline (No DRM),Abstract Cubes,16,57.28,62.08
Baseline (No DRM),Abstract Cubes,16,60.56,67.16
Baseline (No DRM),Abstract Cubes,16,58.50,64.96
Baseline (No DRM),Abstract Cubes,15,61.42,66.01
Baseline (No DRM),Abstract Cubes,15,63.07,68.70
Baseline (No DRM),Abstract Cubes,16,58.30,63.95
Baseline (No DRM),Abstract Cubes,15,61.08,66.41
Baseline (No DRM),Abstract Cubes,14,58.46,61.49
Baseline (No DRM),Abstract Cubes,15,62.64,68.19
Baseline (No DRM),Abstract Cubes,14,59.73,64.45
Baseline (No DRM),Abstract Cubes,15,59.95,66.23
Baseline (No DRM),Abstract Cubes,14,54.60,62.33
Baseline (No DRM),Abstract Cubes,15,58.44,63.33
Baseline (No DRM),Abstract Cubes,14,59.08,64.66
Baseline (No DRM),Abstract Cubes,16,55.12,61.29
Baseline (No DRM),Abstract Cubes,15,56.78,60.03
Baseline (No DRM),Abstract Cubes,15,55.36,60.97
Baseline (No DRM),Abstract Cubes,15,56.98,64.04
Baseline (No DRM),Abstract Cubes,15,58.73,63.68
Baseline (No DRM),Abstract Cubes,15,60.31,65.83
Baseline (No DRM),Abstract Cubes,14,59.92,66.82
Baseline (No DRM),Abstract Cubes,15,61.02,65.58
Baseline (No DRM),Abstract Cubes,14,60.41,66.27
Baseline (No DRM),Abstract Cubes,14,58.94,65.91
Baseline (No DRM),Abstract Cubes,15,60.60,67.19
Baseline (No DRM),Abstract Cubes,15,57.41,61.84
Baseline (No DRM),Abstract Cubes,15,59.34,66.78
Baseline (No DRM),Abstract Cubes,14,59.56,64.76
Baseline (No DRM),Abstract Cubes,16,58.20,65.26
Baseline (No DRM),Abstract Cubes,14,59.34,67.22
Baseline (No DRM),Abstract Cubes,16,58.12,63.14
Baseline (No DRM),Abstract Cubes,16,60.09,63.08
Baseline (No DRM),Abstract Cubes,16,59.75,64.37
Baseline (No DRM),Abstract Cubes,15,59.06,64.51
Baseline (No DRM),Abstract Cubes,15,60.01,63.94
